Title,Location,Salary,Link
Business - System Analyst,Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Poznań,110 zł netto (+ VAT) / godz.,"https://www.pracuj.pl/praca/business-system-analyst-poznan,oferta,1003717421"
Inżynier Danych,Komorniki (gm. Komorniki),No salary information,"https://www.pracuj.pl/praca/inzynier-danych-komorniki-gm-komorniki-wisniowa-11,oferta,1003752896"
QA Manualy Tester Embedded,"Poznań, Grunwald",5 000–10 000 zł netto (+ VAT) / mies.,"https://www.pracuj.pl/praca/qa-manualy-tester-embedded-poznan-reymonta-5,oferta,1003738427"
Junior-Mid PHP/SQL Developer (Programista PHP/SQL),Poznań,No salary information,"https://www.pracuj.pl/praca/junior-mid-php-sql-developer-programista-php-sql-poznan,oferta,1003704328"
Programista Robotów Przemysłowych / Programista sterowników PLC,Poznań,No salary information,"https://www.pracuj.pl/praca/programista-robotow-przemyslowych-programista-sterownikow-plc-poznan,oferta,1003742488"
Trener Programowania dla dzieci i młodzieży,Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Poznań,40–60 zł / godz. (zal. od umowy),"https://www.pracuj.pl/praca/trener-programowania-dla-dzieci-i-mlodziezy-poznan,oferta,1003744884"
Programista Java,"Poznań, Jeżyce",No salary information,"https://www.pracuj.pl/praca/programista-java-poznan-dabrowskiego-29,oferta,1003741355"
Młodszy inżynier wsparcia technicznego,"Poznań, Stare Miasto",No salary information,"https://www.pracuj.pl/praca/mlodszy-inzynier-wsparcia-technicznego-poznan-aleje-solidarnosci-46,oferta,1003694502"
Specjalista DevOps,"Poznań, Jeżyce",No salary information,"https://www.pracuj.pl/praca/specjalista-devops-poznan-dabrowskiego-29,oferta,1003735866"
Data Project Analyst,"Poznań, Grunwald",No salary information,"https://www.pracuj.pl/praca/data-project-analyst-poznan-stanislawa-wyspianskiego-26b,oferta,1003733431"
C# / .Net Developer,"Poznań, Jeżyce",9 000–13 000 zł / mies. (zal. od umowy),"https://www.pracuj.pl/praca/c%23-net-developer-poznan-gajowa-6,oferta,1003694522"
